,PSdelay,TIE_PLL_sdev,phasePSvsPLL_mean_40M,phasePSvsPLL_sdev_40M,dutyCycle_PLL_40M,period_PLL_40M,TIE_PS_sdev_40M,phasePSvsPLL_mean_80M,phasePSvsPLL_sdev_80M,TIE_PS_sdev_80M,phasePSvsPLL_mean_640M,phasePSvsPLL_sdev_640M,TIE_PS_sdev_640M,TIE_PLL_sdev_40M0,TIE_PLL_sdev_640M0,TIE_PLL_sdev_40M1,TIE_PLL_sdev_640M1,TIE_PLL_sdev_40M2,TIE_PLL_sdev_640M2,TIE_PLL_sdev_40M3,TIE_PLL_sdev_640M3,TIE_PLL_sdev_40M4,TIE_PLL_sdev_640M4,TIE_PLL_sdev_40M5,TIE_PLL_sdev_640M5
73,73,9.974,24.276,5.262,50.233,25.0,6.926,5.774,4.572,6.955,0.236,4.651,6.676,6.4,9.4,,,,,,,,,,
74,74,9.493,24.37,6.349,50.228,25.0,6.349,5.872,3.544,6.612,0.327,2.396,6.423,6.4,9.7,,,,,,,,,,
75,75,9.404,24.453,6.88,50.178,25.0,6.399,5.952,6.061,6.576,0.413,2.594,6.445,6.4,9.7,,,,,,,,,,
76,76,9.4,24.525,7.04,50.176,25.0,6.385,6.042,5.217,6.434,0.502,3.662,6.515,6.3,-1,,,,,,,,,,
77,77,9.651,24.612,5.596,50.178,25.0,6.363,6.125,5.174,6.496,0.594,3.139,6.567,6.5,-1,,,,,,,,,,
78,78,9.637,24.702,6.496,50.176,25.0,6.463,6.213,4.933,6.382,0.692,4.576,6.629,6.5,-1,,,,,,,,,,
79,79,9.609,24.794,6.758,50.16,25.0,6.356,6.306,4.458,6.384,0.782,3.046,6.576,6.5,10.2,,,,,,,,,,
80,80,9.221,-1.0,-1.0,0.0,0.0,-1.0,6.466,5.218,6.322,0.936,3.947,6.364,6.5,9.3,,,,,,,,,,
81,81,9.404,0.085,2.451,50.095,25.0,6.361,6.554,5.804,6.514,1.032,3.148,6.427,6.6,9.4,,,,,,,,,,
82,82,9.284,0.173,3.308,50.079,25.0,6.34,6.635,5.434,6.324,1.116,5.138,6.419,6.9,9.3,,,,,,,,,,
83,83,9.636,0.264,3.402,50.05,25.0,6.557,6.72,8.057,6.418,1.2,3.678,6.569,6.7,9.4,,,,,,,,,,
84,84,9.314,0.363,3.661,50.068,25.0,6.411,6.815,4.764,6.412,1.3,3.684,6.399,6.9,9.8,,,,,,,,,,
85,85,9.637,0.452,3.261,50.079,25.0,6.522,6.911,6.011,6.458,1.394,3.045,6.607,7,9.9,,,,,,,,,,
86,86,9.613,0.541,2.813,50.089,25.0,6.441,7.01,3.655,6.659,1.483,4.507,6.544,7.2,9.8,,,,,,,,,,
87,87,9.737,0.633,3.043,50.089,25.0,6.536,7.102,6.402,6.619,1.574,3.809,6.601,7.4,8.9,,,,,,,,,,
88,88,9.78,0.728,3.06,50.108,25.0,6.627,7.198,5.565,6.735,0.091,3.874,6.618,7.7,8,,,,,,,,,,
89,89,10.042,0.82,3.602,50.143,25.0,6.876,7.291,3.962,6.766,0.189,3.517,6.836,7.6,7.4,,,,,,,,,,
90,90,9.966,0.916,3.943,50.134,25.0,6.745,7.387,7.452,6.778,0.28,1.738,6.689,7.6,7.5,,,,,,,,,,
91,91,10.481,0.997,3.543,0.0,24.999,0.0,6.43,3389.9,-1.0,0.365,2.909,6.994,8.1,7.3,,,,,,,,,,
92,92,11.235,1.072,3.408,50.084,25.0,7.357,7.562,6.583,7.216,0.456,4.108,7.324,8,6.9,,,,,,,,,,
93,93,11.713,1.161,3.829,50.08,25.0,7.533,7.652,6.649,7.416,0.549,4.479,7.611,7.7,6.9,,,,,,,,,,
94,94,12.0,1.252,3.67,50.082,25.0,7.752,7.744,3.861,7.604,0.645,4.873,7.736,7.4,7.2,,,,,,,,,,
95,95,12.386,1.343,4.403,50.068,25.0,7.804,7.835,4.823,7.749,0.733,5.724,7.972,7.3,7.5,,,,,,,,,,
96,96,12.146,1.524,3.966,49.99,25.0,7.748,7.997,6.254,7.63,0.885,3.642,7.839,7.2,7.4,,,,,,,,,,
97,97,12.756,1.623,5.121,49.997,25.0,7.973,8.09,8.656,8.01,0.977,4.029,8.175,7.1,7.6,,,,,,,,,,
98,98,12.599,1.732,4.253,50.056,25.0,7.928,8.191,5.428,7.803,1.085,3.511,8.054,6.9,7.7,,,,,,,,,,
99,99,11.792,1.827,4.361,50.065,25.0,7.744,8.28,7.112,7.577,1.183,4.465,7.613,6.7,7.8,,,,,,,,,,
100,100,11.41,1.918,4.152,50.069,25.0,7.433,8.374,7.129,7.35,1.274,3.067,7.461,6.6,7.6,,,,,,,,,,
101,101,11.128,2.007,3.443,0.0,0.0,-1.0,8.467,6.566,7.329,1.368,3.485,7.259,6.4,7.5,,,,,,,,,,
102,102,10.936,2.098,3.182,0.0,24.998,-1.0,8.563,5.473,7.166,1.457,2.592,7.147,6.5,7.5,,,,,,,,,,
103,103,10.747,2.191,4.195,50.083,25.0,7.092,8.659,6.878,7.03,0.886,757.584,7.071,6.4,-1,,,,,,,,,,
104,104,10.41,2.287,3.79,50.105,25.0,6.909,8.756,3.932,7.03,0.097,4.865,6.997,6.5,-1,,,,,,,,,,
105,105,10.015,2.383,4.09,50.144,25.0,6.673,8.856,7.212,6.815,0.196,4.446,6.797,6.5,-1,,,,,,,,,,
106,106,9.356,2.481,3.374,50.118,25.0,6.412,8.954,7.085,6.447,0.284,4.331,6.478,6.5,9.3,,,,,,,,,,
107,107,8.98,2.567,3.373,50.076,25.0,6.422,9.035,6.164,6.43,0.37,4.945,6.305,6.5,9.5,,,,,,,,,,
108,108,9.384,2.635,4.202,50.071,25.0,6.44,9.13,5.258,6.443,0.462,3.542,6.522,6.6,9.9,,,,,,,,,,
109,109,9.37,2.723,3.161,50.073,25.0,6.426,8.434,2940.576,6.441,0.556,2.873,6.438,6.6,10.2,,,,,,,,,,
